Company Name,Type,Contact Number,Website,
Sakthi Gear Products Private Limited (Branch),Manufacturer,095007 03311,https://sakthigear.com/,Annur
APM AUTO PARTS PRIVATE LIMITED,Manufacturer,0422 264 7432,http://www.apmautoparts.com/,Annur
RR Auto Parts & Recycling Facility,Auto parts store,086789 98678,,Annur
MN Auto Products Private Limited,Manufacturer,,https://www.supermnauto.com/,Annur
Sakthi Gear Products Private Limited,Auto parts manufacturer,0422 236 4100,https://sakthigear.com/,Annur
Sakthi Auto Component Limited-Factory,Auto parts manufacturer,090954 66205,http://www.sakthiauto.com/,Annur
Sakthi Auto Ancillary Pvt Ltd,Industrial equipment supplier,0422 264 2613,http://www.saapl.net/,Annur
Roots Industries India Private Limited,Manufacturer,0422 423 5000,http://www.rootsindia.com/,Annur
Jayem Automotives Private Limited,Manufacturer,0422 227 1843,http://www.jayemauto.com/,Annur
Suntech Automobile Products,Manufacturer,098428 38079,https://suntechautoproduct.com/,Annur
RABWIN JAINIDHI PVT LTD,Auto machine shop,098431 20540,http://www.jainidhiautomation.com/,Annur
Senthil Auto Spares,Auto parts store,094449 22449,,Annur
Southern Auto Products Engineers,Auto parts manufacturer,0422 267 3331,,Annur
RSM Autokast Pvt. Ltd.,Manufacturer,0422 658 5908,http://www.rsmautokast.com/,Annur
SIEGER SPINTECH EQUIPMENTS PVT. LTD.,Manufacturer,098947 51798,https://www.siegerglobal.net/,Annur
Hirotec India private limited,Manufacturer,0422 666 6777,https://www.hirotecindia.com/,Annur
SRI KUMARAN AUTOMOBILES & OIL STORES ',Auto parts store,098428 62547,,Annur
Surendar Auto Spares,Auto parts store,097919 76502,,Annur
Mechwell Engineering,Manufacturer,,,Annur
SAKTHI AUTOCAST PRIVATE LIMITED,Manufacturer,,,Annur
G.V.Engineering Works,Machinery parts manufacturer,072004 47800,,Annur
Generic Automech Engineers Private Limited,Manufacturer,098940 51100,https://genericautomech.in/,Annur
Madhavaa Crafts limited- unit-1,Auto parts manufacturer,088848 89289,http://shivalayapc.com/,Annur
Hi Acme Automations India Pvt Ltd,Automation company,080150 15090,https://www.hiacme.com/,Annur
MASS AUTO COMPONENTS,Manufacturer,094440 73054,https://www.massautocomponents.com/,Annur
Pandiyans Industries | Electrical Panel Board & Control Panel Manufacturer in Coimbatore,Manufacturer,089409 66066,https://pandiyansindustries.in/,
Elgi Electric Industries Ltd,Manufacturer,0422 231 1711,http://elgielectric.com/,
Matrix Electricals | Panel Board Accessories & other Industrial Products,Industrial equipment supplier,095009 97010,http://www.matrixelectricals.com/,
TEXRO ELECTRONICS,Electronics Company,079042 02229,,
KVN Industries - Submersible Pumpset Manufacturer,Water Pump Supplier,080567 17612,http://www.kvnpumps.com/,
Prabhu Industries,Manufacturer,090037 03051,https://www.prabhuwashdry.com/,
HINDUSTHAN HEAVY ELECTRICALS PVT LTD,Electrical equipment supplier,099449 99031,,
LAKSHMI FOOD MACHINERY,Food machinery supplier,0422 256 5500,https://lakshmifoodmachinery.in/,
Powermag Control Systems Pvt. Ltd.,Automation company,0422 253 2013,https://www.powermag.in/,
GEM Manufacturers Private Limited,Manufacturer,0422 253 1179,,
Avanashiappan Industries - Manufacturer & Exporter of Commercial Kitchen Equipments,Food machinery supplier,090470 26050,http://www.avanashiappan.com/,
Nexus Automation Solutions,Automation company,095979 12908,https://www.nexusautomations.com/,
Perfect Engineering Solutions | Distributor of Electric Motors | Geared Motors | Gearbox | VFD & Industrial Products,Industrial equipment supplier,099419 99883,http://perfectengineeringsolutions.com/,
GESCO GLOBAL ENGINEERING SYSTEMS & CONTROLS,Water Pump Supplier,099440 57376,http://www.gesco.com/,
Verizon Trading Company,Electrical products wholesaler,080728 04058,,
FASCO Private Limited (Factory Automation and Solutions Company),Automation company,,http://www.fascoindia.com/,
Everon Impex Hollow block machine in Coimbatore | Paver block machine | Interlock brick | Fly Ash brick | Mud brick machine,Manufacturer,098437 62454,http://www.everonimpex.com/,
Star Electrical Devices,Kitchen supply store,097866 90111,,
MSB INDUSTRIES,Air compressor supplier,099526 26270,http://www.msbaircompressor.com/,
Royal Laks Industriess,Electrical equipment supplier,,https://www.indiamart.com/royallaksindustries/,
,,,,
,,,,
Devi Industries - Cold Pressed Oil Extraction Machine - Marachekku Machine,Manufacturer,094431 74449,https://devimachines.com/,
JAYA INDUSTRIES,Manufacturer,093619 28345,https://www.indiamart.com/jayaindustriescoimbatore/,
Gorlan India Switchgears Pvt Ltd,Electrical equipment supplier,0422 437 6841,http://www.india.gorlan.com/,
Sri Venkateshwara Industries,Manufacturer,0422 266 9694,http://www.srivenkateshwaraindustries.com/,
Coimbatore Steel House private limited,Home goods store,073050 41741,http://www.steelhouse.shop/,
"GTS ENVIRO INDIA PVT LTD - ZLD ETP/STP/WTP, Filter Press, Wet Scrubber Manufacturers in Coimbatore",Sewage treatment plant,098430 30427,https://gtsenviro.com/,
